#{"t_start": 1524075484.6549065, "env_id": "Ant-v2"}
r,l,t
-206.939601,72,181.366572
-119.041132,43,181.456193
-328.0919,111,181.695958
-121.312486,32,181.759874
-184.781052,58,181.871464
-95.081144,35,181.935547
-64.044517,15,181.963277
-49.288898,18,181.99757
-266.237366,87,182.168633
-90.368651,29,182.227141
-79.985266,22,182.271808
-44.135186,17,182.307122
-18.818077,14,182.335384
-44.76506,14,182.374674
-99.877392,34,182.446412
-170.588263,56,182.558618
-200.806137,69,182.685573
-48.266026,24,182.731609
-145.785113,36,182.797675
-247.920024,85,182.967224
-97.823625,38,183.043021
-148.968059,44,183.125382
-86.370615,41,183.202929
-203.953845,68,183.330209
-108.197006,29,183.387989
-372.781282,133,183.648279
-102.202921,33,183.7103
-147.009027,42,183.791721
-2974.588028,1000,187.385767
-27.916642,13,187.412474
-585.82154,190,187.769812
-90.595648,22,187.810928
-194.551873,62,187.931354
-53.49487,18,187.969032
-264.66415,83,188.124357
-63.620033,32,188.183638
-240.94586,63,188.3014
-179.863143,57,188.412634
-200.986425,55,188.523897
-89.860083,35,188.589684
-148.787312,40,188.664044
-40.756905,14,188.689182
-507.093109,153,188.981763
-61.824442,24,189.026281
-74.277482,21,189.065315
-113.612403,39,189.137158
-192.904482,63,189.252112
-3015.928973,1000,193.062461
-80.103245,18,193.096652
-78.987774,23,193.139495
-478.139264,158,193.437788
-54.603667,24,193.487601
-158.511165,61,193.602865
-112.335428,40,193.675808
-328.344482,132,193.929407
-325.72497,115,194.149506
-212.341071,82,194.301597
-100.938337,35,194.368479
-40.760478,18,194.405761
-228.420795,77,194.564587
-53.719958,17,194.596927
-113.428599,34,194.662943
-85.899702,25,194.709888
-109.171675,45,194.792374
-86.088164,23,194.836652
-172.853992,78,194.99509
-272.062443,95,195.173168
-192.512306,62,195.301197
-55.025731,20,195.34164
-95.963599,44,196.959344
-96.646487,43,197.04388
-252.907077,90,197.207709
-341.91702,114,197.450022
-74.198581,20,197.494846
-40.036485,12,197.520332
-332.196825,152,197.833201
-33.208437,12,197.856941
-51.520425,19,197.899037
-211.688464,59,198.034687
-98.078304,33,198.106009
-136.323932,52,198.212484
-211.37808,83,198.38025
-78.156692,20,198.424276
-91.257447,26,198.483399
-127.193122,46,198.579355
-105.142585,40,198.661284
-2959.165204,1000,200.601063
-129.452658,42,200.677748
-259.264384,100,200.873314
-151.832259,49,200.983672
-38.275855,16,202.4793
-452.150046,123,202.71357
-2969.234121,1000,204.788859
-42.412656,14,204.8155
-128.653366,54,204.920972
-131.424155,39,205.003622
-36.239533,17,205.035953
-119.232637,35,205.101298
-49.88633,27,205.151428
-358.563032,130,205.4001
-229.365132,74,205.55059
-206.958325,78,205.694609
-146.141258,43,205.774439
-2982.032854,1000,209.324732
-303.284082,103,209.555943
-2901.483244,1000,211.53821
-42.401113,10,211.556401
-506.712477,155,211.847718
-174.913996,45,211.940024
-262.568002,97,212.145488
-136.153213,41,212.232949
-122.675259,44,213.911851
-2994.885602,1000,215.876946
-164.791859,47,215.962988
-170.613222,51,216.059262
-67.455962,23,216.101022
-33.229733,13,216.124678
-169.377465,59,216.230023
-265.309584,90,216.393409
-314.475273,91,216.584034
-55.440821,21,216.629566
-386.150811,126,216.895868
-69.365614,26,216.945727
-273.599543,98,217.13081
-299.32739,100,217.321181
-156.926686,45,217.404697
-114.249686,38,217.480369
-121.331978,37,217.558033
-31.195377,19,217.598383
-67.174882,16,217.631668
-144.271074,49,217.739377
-64.003919,20,217.780795
-54.990467,19,217.817952
-45.737688,10,217.837944
-89.235333,24,219.404398
-85.35977,25,219.450607
-105.053917,40,219.52993
-203.083658,63,219.649002
-270.306558,97,219.835738
-112.991333,44,219.918414
-37.764966,12,219.942315
-21.829169,11,219.96347
-82.876726,36,220.034704
-170.12568,48,220.137058
-96.975206,29,220.207873
-18.232953,9,220.229033
-325.254975,90,220.470431
-49.344988,18,220.51159
-43.228366,18,220.552008
-370.190723,143,220.862046
-2946.183488,1000,222.908326
-32.444882,9,222.925518
-135.124842,43,223.005755
-54.59234,16,223.035284
-49.136183,15,223.062325
-147.705012,56,223.169188
-73.978563,27,223.223815
-59.031321,20,223.267042
-63.319821,26,223.322247
-2990.223743,1000,226.837631
-57.760287,19,226.877792
-165.679093,46,226.972558
-194.603861,41,227.06056
-34.970597,13,227.090723
-29.265509,12,227.118445
-68.173582,26,227.18316
-91.203015,34,227.264833
-66.130631,26,227.323229
-91.25631,34,227.393421
-234.933567,72,227.526171
-150.833144,53,227.62789
-246.004976,73,227.762733
-51.819773,21,227.80179
-67.197359,20,227.838661
-171.522499,59,227.950741
-553.017509,165,228.25801
-78.950408,22,228.297513
-295.088789,93,228.467381
-282.47772,91,228.634956
-442.665663,149,228.908898
-39.438003,21,228.952417
-144.139173,43,229.040485
-134.973009,50,229.141422
-38.216233,13,230.593938
-423.764878,138,230.844479
-84.455429,23,230.885678
-650.018934,192,231.230404
-215.512511,54,231.327291
-89.620627,36,231.391655
-89.396782,28,231.442758
-331.802332,93,231.636507
-127.666125,38,231.712638
-156.607881,41,231.795636
-149.447034,53,231.902393
-166.967232,45,231.990653
-168.267842,43,232.079174
-133.443462,43,232.165711
-95.548384,33,232.23191
-332.636334,99,232.431438
-2951.292678,1000,234.35567
-375.442157,126,236.06576
-44.740521,19,236.104329
-62.875553,32,236.163951
-228.287808,77,236.30185
-309.20179,96,236.475296
-165.626239,58,236.584206
-340.073471,119,236.801066
-132.839077,35,236.864749
-88.277096,29,236.918097
-61.828278,17,236.951546
-126.3577,67,237.089585
-61.585028,28,237.144954
-71.01052,20,237.185261
-46.851109,10,237.205498
-75.326507,23,237.2527
-158.349682,52,237.359129
-151.345105,43,237.44676
-124.177857,43,237.534401
-2957.116328,1000,239.454937
-48.637727,13,239.478602
-46.284221,17,239.509612
-90.88357,31,239.566333
-177.108345,45,239.656215
-544.672237,170,241.433337
-185.501166,56,241.537324
-53.659711,22,241.578523
-119.114527,34,241.64124
-3108.289098,1000,243.595813
-106.569434,37,243.670622
-43.581114,24,243.718785
-36.109925,16,243.751891
-61.313236,16,243.784087
-2896.816329,1000,247.144955
-86.895917,29,247.197409
-108.019221,37,247.265521
-209.440754,70,247.395582
-50.542778,13,247.420573
-269.359464,65,247.538828
-188.671425,54,247.638122
-137.680183,38,247.706714
-198.813608,63,247.820915
-114.325662,26,247.867936
-173.304795,49,247.96923
-481.623487,161,248.315449
-31.849846,16,248.350412
-137.74386,48,248.454845
-2985.081985,1000,250.46261
-99.929947,43,250.551521
-73.574318,22,250.596148
-141.006794,37,250.670599
-104.270248,28,250.725953
-348.594147,111,252.344264
-41.56361,13,252.370208
-347.330437,143,252.630827
-272.343632,89,252.792209
-235.032239,84,252.945762
-85.846242,42,253.02135
-83.380925,40,253.094242
-46.495444,18,253.126705
-77.603138,27,253.178382
-83.361812,21,253.217776
-214.130906,63,253.332286
-436.778123,162,253.66369
-633.427275,245,254.154498
-120.623443,42,254.238679
-62.964515,21,254.280716
-56.238549,30,254.341133
-331.538462,112,254.564147
-32.198301,13,254.589746
-138.381191,37,254.663747
-2977.161655,1000,257.989739
-131.797725,39,258.061658
-151.785134,60,258.171037
-262.427259,82,258.320282
-52.368755,19,258.355091
-291.256239,90,258.521972
-41.15752,18,258.554596
-48.776399,11,258.57467
-212.005354,69,258.69927
-164.922299,59,258.814098
-143.60514,50,258.917387
-108.140057,26,258.969421
-200.032262,62,259.094579
-2850.233634,1000,261.05793
-40.249814,20,261.098648
-402.555716,134,261.368941
-96.158317,27,261.423085
-250.576501,97,262.985739
-143.549305,41,263.06378
-223.056166,94,263.23359
-163.147964,43,263.311263
-45.744168,16,263.341536
-198.554571,62,263.455145
-3070.551076,1000,265.390836
-221.785063,61,265.513804
-76.094025,21,265.555513
-172.75674,52,265.659706
-62.081855,19,265.693817
-103.894777,35,265.757487
-101.712826,30,265.811235
-117.068256,36,265.880852
-146.850685,45,265.962561
-54.274054,24,266.005528
-191.667292,61,266.116035
-220.330374,82,266.264115
-121.42041,41,266.33845
-118.182568,43,266.42287
-391.4812,145,266.712027
-129.187685,47,266.805512
-69.107263,22,266.849243
-148.377383,38,268.32246
-29.408239,9,268.339617
-118.322842,35,268.406688
-129.544261,42,268.483672
-160.330167,57,268.586892
-36.144331,10,268.604994
-82.660315,41,268.679486
-58.10503,22,268.719518
-62.397077,24,268.764363
-35.925448,16,268.793518
-3092.080414,1000,270.727673
-91.478436,28,270.784982
-117.140618,33,270.850497
-20.826278,16,270.883404
-71.745813,22,270.928212
-106.248557,38,271.005726
-50.970471,13,271.03247
-56.904582,18,271.068928
-212.465126,78,271.221606
-52.386781,30,271.276025
-33.366343,10,271.294286
-35.825125,15,271.321931
-2943.051438,1000,274.586549
-118.465629,42,274.661856
-178.047085,74,274.795004
-59.712978,24,274.83883
-195.922964,58,274.942232
-75.069626,15,274.969344
-126.067846,46,275.051296
-86.299067,32,275.108735
-156.154471,60,275.216373
-3009.106091,1000,277.255014
-268.456845,100,277.455501
-96.867818,38,277.531527
-88.331415,29,278.985661
-82.923621,26,279.032975
-165.487861,55,279.136397
-98.997957,42,279.212637
-330.931808,97,279.388408
-335.261441,104,279.578132
-65.824125,18,279.611277
-47.360781,16,279.641195
-93.761453,25,279.686049
-83.169938,19,279.721328
-68.587085,34,279.784022
-35.09418,21,279.822728
-132.61761,41,279.897174
-197.067641,59,280.004479
-37.875219,15,280.03319
-53.735167,20,280.07028
-171.09768,57,280.175961
-74.907113,29,280.229197
-332.822611,108,280.425526
-20.053294,12,280.447206
-241.214571,87,280.610625
-425.722421,150,280.895999
-63.032549,26,280.950577
-177.041572,51,281.056624
-203.172342,68,281.193761
-197.08598,75,281.353817
-2916.717466,1000,284.733701
-128.41371,41,284.808347
-200.19262,68,284.932254
-296.97263,95,285.104589
-100.115517,39,285.175351
-308.965521,96,285.354062
-217.245814,63,285.469478
-248.64546,72,285.600777
-87.132192,35,285.665111
-352.966168,104,285.857222
-37.952855,13,285.881134
-74.670513,26,285.928456
-232.61796,72,286.058665
-203.551537,55,286.160283
-65.115207,19,286.195364
-105.467207,44,286.277074
-110.574162,38,286.351389
-88.759835,30,286.413807
-197.351919,54,286.52129
-100.167031,39,286.59984
-94.182914,25,286.650689
-399.567041,178,286.997977
-109.178667,37,287.071176
-105.480291,41,287.154278
-899.604958,261,287.68105
-224.007577,78,287.830365
-287.924687,100,288.0353
-73.460891,17,288.071474
-462.824393,167,289.870328
-131.609267,56,289.972206
-70.918219,19,290.006227
-47.276153,18,290.038535
-147.862783,56,290.139614
-51.99677,23,290.180818
-98.283639,36,290.247056
-124.775549,48,290.333434
-35.73605,15,290.361917
-202.608835,64,290.479156
-2881.863458,1000,292.356387
-99.298628,32,292.420531
-131.20985,59,292.537217
-92.218811,24,292.585951
-62.846208,20,292.626143
-193.876691,64,292.754026
-50.821897,23,292.800116
-142.597398,44,292.891883
-150.291018,43,292.98487
-66.723324,26,293.037798
-61.761272,25,293.087766
-100.386777,22,293.131571
-178.17518,59,293.249845
-3042.26462,1000,296.535751
-156.721666,48,296.626365
-168.860563,56,296.731181
-3062.080311,1000,298.70597
-62.211417,15,298.740802
-54.973088,30,298.796953
-277.884626,88,298.976868
-80.299474,29,300.447234
-2995.31604,1000,302.298411
-128.632011,41,302.373315
-103.544153,42,302.451184
-76.819696,26,302.497995
-62.127736,21,302.536126
-146.142627,53,302.632804
-212.340281,74,302.769104
-88.805426,28,302.826209
-278.503306,92,303.01429
-29.806759,11,303.036592
-28.675082,10,303.056848
-115.410976,37,303.13197
-61.658482,13,303.158218
-103.858456,37,303.231888
-87.040218,41,303.313783
-60.31846,18,303.350211
-70.802645,20,303.390614
-133.511558,40,303.471247
-40.953573,14,303.499359
-3005.865971,1000,306.857365
-60.809186,21,306.896472
-251.238993,80,307.041049
-2922.232799,1000,308.957113
-170.308516,74,309.111651
-121.702179,54,309.221011
-54.288971,19,309.260439
-86.265525,27,309.324387
-633.365,203,311.176569
